temperature,humidity,wind_speed,rainfall,recommended_sensitivity,explanation
26.6,58.9,21.9,18.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.9,81.9,18.0,23.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.1,57.6,12.6,8.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.6,54.3,14.2,11.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.5,86.2,16.3,24.7,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
40.9,36.4,16.8,4.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
19.7,78.7,34.4,54.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
19.0,87.5,45.8,92.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.9,87.1,25.5,52.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.8,50.4,24.2,12.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.7,22.5,15.0,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
35.1,39.2,6.7,1.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.3,90.2,18.3,41.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
20.9,81.1,20.7,57.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.1,65.2,17.0,17.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.0,85.6,37.6,81.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
27.6,73.5,20.0,52.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
42.7,41.3,8.7,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
16.9,88.7,48.9,68.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.3,46.3,17.5,8.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
44.0,41.0,13.4,4.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
42.4,37.4,6.8,3.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.2,26.4,15.9,2.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.1,52.2,14.5,5.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.5,72.8,33.1,49.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.4,48.6,16.4,14.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.6,47.1,24.6,6.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.2,87.8,39.4,85.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.2,39.7,9.5,3.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.8,78.3,15.9,47.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
41.7,31.6,14.0,3.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.6,31.4,8.8,0.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
44.0,32.9,17.9,2.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.3,78.9,30.6,63.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
30.9,63.6,23.4,10.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.2,58.0,22.0,15.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.5,78.0,16.6,53.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.1,87.2,22.0,22.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.0,51.9,24.7,19.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
30.0,62.0,24.3,7.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
31.0,39.5,9.8,1.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.1,93.7,22.4,58.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
28.5,51.2,11.7,16.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
21.1,76.5,23.9,69.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.2,66.3,16.8,18.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.1,78.0,21.9,23.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
26.1,94.2,48.5,85.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
23.2,50.0,12.1,16.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.4,90.1,26.0,50.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
32.0,63.0,17.9,16.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.4,89.0,43.6,73.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.7,74.5,34.3,41.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
32.3,24.1,9.2,3.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.6,96.9,35.0,85.4,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
34.5,33.3,11.5,0.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
39.9,38.0,12.9,4.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.3,71.1,27.8,48.8,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
23.0,86.0,25.0,51.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.3,96.1,43.7,71.9,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
36.6,32.1,7.7,3.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.8,91.5,34.5,26.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.8,81.7,20.3,32.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
35.8,35.4,8.2,4.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
27.8,52.8,21.4,12.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.2,68.6,17.6,19.5,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
37.4,42.1,13.5,2.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.2,92.1,29.6,58.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
20.3,83.8,16.5,45.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
44.8,37.0,6.5,4.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
22.1,93.5,30.1,30.0,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
22.5,48.4,15.0,12.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.2,78.2,27.3,28.1,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.6,78.4,31.6,46.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.4,86.8,34.6,49.2,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.3,81.9,34.3,59.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
25.0,74.3,27.6,51.0,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
18.4,93.7,17.2,20.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
40.4,30.3,15.1,4.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
18.7,73.5,19.1,36.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
25.1,49.3,23.7,10.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
25.7,87.3,27.2,29.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
20.7,94.3,21.0,34.5,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
21.8,78.7,33.7,59.8,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
22.6,94.5,31.4,67.7,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
34.3,37.9,9.5,2.2,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
24.0,58.5,24.0,15.4,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.9,86.7,25.6,51.9,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
29.2,47.5,21.6,5.1,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
20.3,98.7,47.6,79.1,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
19.2,92.9,48.2,63.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
29.2,68.4,23.7,7.6,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.0,87.9,39.9,97.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
26.4,80.2,41.4,64.3,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
44.8,33.6,11.4,4.7,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
23.9,47.8,12.4,11.9,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
41.0,39.8,12.4,3.8,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
26.7,96.5,40.3,63.5,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
32.1,28.1,8.2,1.3,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
29.4,77.5,29.5,20.6,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
18.7,73.0,21.1,40.3,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
24.1,86.2,32.3,96.6,HIGH,Adverse weather conditions detected. Increase sensor sensitivity.
20.6,73.3,18.1,57.4,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
27.5,56.8,18.1,15.0,LOW,Stable weather conditions. Low sensor sensitivity is sufficient.
28.5,72.0,23.9,55.2,MEDIUM,Moderate weather conditions require balanced sensor sensitivity.
